,movieId,all features
0,148,Drama   MikeNewell 
1,463,Crime Drama Thriller   LarryCohen 
2,471,Comedy   EthanCoen 
3,496,Comedy Drama Romance Thriller   TomNoonan 
4,833,Comedy   DavidZucker 
5,1088,Drama Musical Romance    
6,1238,Comedy    
7,1342,Horror Thriller   CliveBarker 
8,1580,Action Comedy Sci-Fi   LowellCunningham 
9,1591,Action Adventure Sci-Fi Thriller   ToddMcFarlane 
10,1645,Drama Mystery Thriller   AndrewNeiderman 
11,1829,Drama Romance   Jean-ClaudeCarrière 
12,1959,Drama Romance    
13,2122,Horror Thriller    
14,2142,Adventure Animation Children Musical Western   SimonWells 
15,2366,Action Adventure Fantasy Horror    
16,2659,Comedy Documentary    
17,2866,Drama    
18,3175,Adventure Comedy Sci-Fi   DavidHoward 
19,3749,Drama   MarcelProust 
20,3794,Comedy Drama   MikeWhite 
21,3918,Horror    
22,3997,Action Adventure Comedy Fantasy   TopperLilien 
23,4101,Drama    
24,4519,Adventure Animation Children Fantasy    
25,4818,Action Adventure Comedy Drama   EricHannah 
26,4900,Comedy   EmmettMalloy 
27,4935,Drama Sci-Fi    
28,5156,Action    
29,5300,Action Adventure Drama Thriller Western    
30,5518,Drama    
31,5803,Action Adventure Comedy Crime   MortonS.Fine 
32,6336,Drama   BahmanGhobadi 
33,6357,Comedy Musical Romance    
34,6397,Comedy    
35,6466,Drama Romance   MiraNair 
36,6620,Comedy Drama   ShariSpringerBerman 
37,6654,Adventure Sci-Fi    
38,6658,Comedy Romance    
39,7240,Action Drama War    
40,7253,Comedy Romance    
41,7340,Comedy    
42,7754,Action Adventure Drama Romance   ClaraLaw 
43,7833,Comedy Crime Mystery    
44,7880,Drama   EmmanuèleBernheim 
45,7982,Drama Horror Mystery Thriller   Jee-woonKim 
46,7993,Comedy Horror    
47,8592,Comedy    
48,8638,Drama Romance   RichardLinklater 
49,26425,Action Comedy    
50,26708,Drama War   GiulianoMontaldo 
51,26755,Action Crime   WalterDoniger 
52,27484,Drama   RichardMurphy 
53,27760,Drama   JirôAsada 
54,30970,Drama    
55,31035,Drama    
56,31367,Action Adventure Comedy Crime Romance Thriller   AdamRifkin 
57,31528,Action Adventure Drama War    
58,31983,Crime Drama    
59,32460,Action Comedy Crime Drama   ThomasJahn 
60,33722,Comedy Drama Romance   WilliamJ.Locke 
61,36525,Comedy Fantasy Romance   PeterTolan 
62,40574,Action Crime Drama   TerenceWinter 
63,41575,Action Drama Fantasy   KaigeChen 
64,44022,Adventure Animation Children Comedy   PeterGaulke 
65,46952,Comedy Drama   IvanTrojan 
66,47084,Drama   Alain-MichelBlanc 
67,47501,Drama    
68,53963,Comedy Drama   KeithThompson 
69,54190,Drama Fantasy Musical Romance   JulieTaymor 
70,57370,Comedy Crime Thriller   GlennGers 
71,58061,Drama    
72,63645,Crime Drama   JudithAngerbauer 
73,64519,Crime Drama Film-Noir    
74,68135,Comedy Drama   JasonFilardi 
75,69042,Action Sci-Fi    
76,74820,Drama    
77,76143,Crime Thriller   WolfHaas 
78,78064,Documentary   ZaneVella 
79,80451,Drama Horror    
80,82529,Action Crime Drama Thriller   YôichiSai 
81,83250,Drama Horror Thriller    
82,85332,Drama Romance   PeterWoodward 
83,86927,Comedy Romance    
84,88599,Drama   SilvioSoldini 
85,88674,Documentary    
86,89056,Documentary Musical   D.A.Pennebaker 
87,89844,Comedy Crime Drama   RobertDavi 
88,90019,Drama Romance   Jun-hanKim 
89,90817,Adventure Drama    
90,91446,Western    
91,91784,Comedy Drama Fantasy   SebastianGutierrez 
92,91937,Comedy Drama Romance   PeterFacinelli 
93,92188,Drama    
94,93948,Horror Thriller   SeanHood 
95,94819,Adventure Comedy War    
96,96488,Documentary   MalikBendjelloul 
97,96853,Comedy Crime Drama   JillSprecher 
98,97092,Documentary   PeterJones 
99,97186,Documentary   KevinFrazier 
100,100446,Adventure Mystery    
101,100884,Documentary   StephenMarshall 
102,101627,Drama Thriller    
103,102119,Drama Film-Noir Mystery Romance Sci-Fi   JamesKerwin 
104,102798,Horror Musical   TerranceZdunich 
105,104064,Crime Drama   MikaKarttunen 
106,104508,Comedy Drama Romance   YolandaGarcíaSerrano 
107,109613,Documentary   PennyWoolcock 
108,109800,Documentary   CosmoFeilding-Mellen 
109,111515,Action Drama    
110,119432,Drama   ErikPoppe 
111,120861,Action Comedy Romance    
112,124647,Action Documentary Drama   SteveBrown 
113,124861,Adventure Documentary Drama Thriller   StanAdelstein 
114,128389,Action   LucioDeCaro 
115,243,Children Comedy Fantasy   JaySommers 
116,392,Adventure Animation   DaveBorthwick 
117,540,Thriller   IraLevin 
118,623,Romance   VernOakley 
119,737,Action Sci-Fi   ChrisWarner 
120,858,Crime Drama    
121,897,Adventure Drama Romance War    
122,1025,Animation Children Fantasy Musical    
123,1084,Crime Drama    
124,1127,Action Adventure Sci-Fi Thriller    
125,1395,Comedy Drama    
126,1460,Children Comedy Mystery   GordonGordon 
127,1483,Drama Thriller   J.G.Ballard 
128,1507,Drama War   DavidGiles 
129,1522,Drama   MoOgrodnik 
130,1721,Drama Romance   JamesCameron 
131,1896,Comedy   DesMcAnuff 
132,1990,Horror   RichardBeattie 
133,2235,Drama War   MiltonS.Gelman 
134,2387,Comedy Crime   PeterBerg 
135,2563,Drama   MargaretRosenthal 
136,2580,Comedy Crime   JohnAugust 
137,2811,Comedy   PhilipFrankMessina 
138,2999,Comedy   AdamAbraham 
139,3179,Drama   AlanParker 
140,3226,Documentary   RooseveltBarnes 
141,3475,Drama Romance    
142,3698,Action Sci-Fi    
143,4158,Animation Comedy Fantasy   KajaBlackley 
144,4161,Action Comedy   J.H.Wyman 
145,4190,Drama    
146,4219,Comedy    
147,4929,Comedy    
148,5614,Drama Romance   GianniRomoli 
149,6393,Drama   LaetitiaMasson 
150,6623,Comedy Romance   DanIreland 
151,6773,Animation Comedy Fantasy   SylvainChomet 
152,7168,Drama   Jean-ClaudeBrisseau 
153,7417,Comedy Romance   DavidBurtonMorris 
154,8803,Drama   ToshiakiToyoda 
155,8928,Comedy Horror    
156,8932,Horror    
157,26544,Comedy Drama    
158,26699,Drama   MohsenMakhmalbaf 
159,26801,Action   RaymondLee 
160,27261,Drama   RainerWernerFassbinder 
161,27888,Drama   JamesToback 
162,31680,Comedy Drama   ElliotGreenebaum 
163,36312,Drama Romance War    
164,41704,Action Horror Mystery Sci-Fi   DickMaas 
165,43921,Action Crime Thriller   WayneKramer 
166,45183,Action Comedy Crime Thriller   Napalee 
167,46108,Drama   KarimAïnouz 
168,47935,Drama War    
169,48711,Action Drama   AlexKendrick 
170,48780,Drama Mystery Sci-Fi Thriller   JonathanNolan 
171,50954,Comedy Romance   GeoffDeane 
172,51433,Drama Romance   AndréTéchiné 
173,51927,Horror Mystery Thriller   LeighWhannell 
174,56941,Comedy Drama Romance   RichardLaGravenese 
175,57513,Comedy    
176,62526,Mystery Thriller    
177,63781,Documentary IMAX   RogerHolzberg 
178,65300,Action Comedy Horror   JonKnautz 
179,65974,Documentary   ArtoHalonen 
180,68544,Comedy    
181,69481,Action Drama Thriller War   MarkBoal 
182,71709,Drama    
183,74452,Horror Thriller   AndrewKevinWalker 
184,74595,Drama   JebStuart 
185,76169,Comedy Mystery Thriller   WolfHaas 
186,76312,Comedy Crime Drama    
187,78272,Drama   ÉricRohmer 
188,78905,Crime Drama Film-Noir Mystery    
189,79647,Crime Horror Mystery    
190,80152,Drama    
191,80424,Western    
192,81312,Crime Horror Thriller   EricPoppen 
193,86181,Drama    
194,87560,Drama    
195,89506,Horror Thriller   PacoCabezas 
196,91298,Crime Drama   S.A.Halewood 
197,91690,Comedy   JenniferWestfeldt 
198,92008,Action Thriller   LemDobbs 
199,93037,Comedy Romance    
200,96290,Drama    
201,96415,Comedy Drama Horror Sci-Fi   Pil-sungYim 
202,96565,Comedy   LeslyeHeadland 
203,96933,Drama Fantasy    
204,97705,Comedy    
205,98271,Drama   JoãoJardim 
206,99996,Comedy Drama   ToddBerger 
207,100570,Action Thriller   YossiWein 
208,101362,Action Thriller   CreightonRothenberger 
209,101761,Action Adventure Crime Thriller   EranCreevy 
210,101862,Documentary   StevenPressman 
211,101971,Documentary   AndrewKasch 
212,103388,Documentary   RobinHessman 
213,103547,Horror   TaylorSheridan 
214,104317,Comedy   JemaineClement 
215,105252,Action Adventure Fantasy    
216,106141,Comedy   CarterMays 
217,107561,Comedy Drama   AnjaJacobs 
218,109923,Drama   LaureGasparotto 
219,110433,Drama Thriller   EricRochant 
220,111447,Action Adventure Fantasy Romance Sci-Fi   TanCheung 
221,112251,Drama Horror Thriller    
222,114166,Action Crime Mystery Romance Sci-Fi Thriller    
223,116895,Drama Mystery Thriller   DannyLerner 
224,116947,Comedy Drama   ThomasGallagher 
225,117374,Documentary   Seefullsummary 
226,118258,Comedy Drama Horror Romance   GurinderChadha 
227,119697,Drama Thriller   AndrewOkpeahaMacLean 
228,119907,Action Adventure War   EoghanHarris 
229,120524,Comedy Crime    
230,129818,Crime Documentary   JoeBerlinger 
231,31,Drama   LouAnneJohnson 
232,516,Comedy Drama   JimBurnstein 
233,1139,Drama   SharonPollack 
234,1143,Comedy   PascalBonitzer 
235,1270,Adventure Comedy Sci-Fi    
236,1303,Adventure Drama    
237,1322,Horror   JohnG.Jones 
238,1339,Fantasy Horror Romance Thriller   BramStoker 
239,1352,Crime Thriller   ChristianForte 
240,1650,Drama   AgnieszkaHolland 
241,1699,Comedy Drama   PatMcCabe 
242,1903,Comedy   ChristopherScottCherot 
243,2393,Action Drama Romance Sci-Fi   GeneRoddenberry 
244,2572,Comedy Romance   KarenMcCullah 
245,2711,Drama   HughHudson 
246,2776,Documentary   AnnaMariaTatò 
247,2821,Adventure Drama    
248,2996,Drama   PamelaGray 
249,3000,Action Adventure Animation Drama Fantasy   HayaoMiyazaki 
250,3213,Animation Children   BruceTimm 
251,3352,Drama   JasonFreeland 
252,3488,Horror Sci-Fi    
253,3704,Action Adventure Sci-Fi    
254,3761,Action Crime Drama Thriller   RossThomas 
255,4391,Drama   AnhHungTran 
256,4489,Comedy Romance    
257,5071,Drama Romance   DenisVilleneuve 
258,5117,Comedy Musical    
259,5173,Comedy Thriller   ColinBateman 
260,5287,Crime Drama Mystery    
261,5345,Drama    
262,5984,Drama Romance    
263,6266,Comedy Drama Romance   WilliamDouglas-Home 
264,6482,Comedy   PeterFarrelly 
265,6559,Children Comedy   JamesFerguson 
266,6622,Drama   DelphineGleize 
267,6825,Comedy    
268,7281,Horror    
269,7387,Action Drama Horror    
270,7850,Musical    
271,7879,Comedy   MargaretCho 
272,8222,Drama Horror Mystery Thriller    
273,8257,Action Drama War    
274,8407,Drama    
275,8924,Comedy    
276,26111,Drama    
277,26128,Comedy Musical Romance    
278,26178,Comedy Drama Romance    
279,27266,Drama Fantasy Romance Sci-Fi   Kar-WaiWong 
280,31435,Drama   JeffreyCaine 
281,32525,Drama Romance    
282,32560,Action Adventure Sci-Fi    
283,32988,Drama   OlivierAssayas 
284,34435,Action Adventure Comedy Musical Romance Thriller    
285,34488,Drama Film-Noir Thriller    
286,38656,Comedy Drama    
287,40578,Action Drama   HideoGosha 
288,41126,Crime Drama    
289,48035,Comedy Crime Romance Thriller    
290,50792,Comedy Drama Romance   SusannahGrant 
291,53741,Drama   ClaudeChabrol 
292,54958,Crime Drama Thriller   GregoryNava 
293,55272,Crime Drama   JamesGray 
294,55363,Crime Drama Western   AndrewDominik 
295,55498,Adventure Drama Romance   AlessandroBaricco 
296,56022,Drama Sci-Fi   KurtVonnegutJr. 
297,58850,Adventure Comedy    
298,59667,Comedy   AndreaGibb 
299,59680,Comedy Musical Romance    
300,61250,Comedy   KarenMcCullah 
301,67068,Western    
302,67865,Drama   MarkkuPölönen 
303,71670,Comedy   KimBarker 
304,71732,Comedy Horror   GlennMcQuaid 
305,71821,Children   RobertRodriguez 
306,74097,Adventure Drama War    
307,74948,Crime Drama Thriller   GaryYoung 
308,75979,Crime Drama Film-Noir    
309,79760,Documentary   PeteMcCormack 
310,80315,Crime Drama    
311,80906,Documentary   CharlesFerguson 
312,82459,Western   JoelCoen 
313,83291,Documentary   MargaretBrown 
314,83654,Comedy Drama   GianniZanasi 
315,85268,Comedy Fantasy Mystery   DanielAltiere 
316,86206,Crime Drama Film-Noir Mystery    
317,87028,Drama Thriller   SonnyMallhi 
318,89194,Comedy Drama   KatieWech 
319,93240,Animation Drama Fantasy   MakotoShinkai 
320,93432,Documentary   LeeFulkerson 
321,94283,Drama Thriller   TenseiKono 
322,96706,Western    
323,96840,Thriller   RafiPitts 
324,97128,Drama    
325,98376,Comedy Drama Romance    
326,98766,Comedy Documentary Musical   DoriBerinstein 
327,100836,Comedy Drama   DanielBurman 
328,101872,Thriller   DennisGansel 
329,103751,Documentary   JoshFox 
330,104015,Action Comedy    
331,105086,Musical   BrinHill 
332,106346,Drama    
333,107215,Drama   DallasJenkins 
334,109450,Drama    
335,110512,Comedy    
336,114128,Action Drama Thriller    
337,114680,Action Drama Horror   PhilipYung 
338,114859,Comedy Crime Mystery Thriller    
339,116183,Comedy    
340,120315,Comedy   LauriMaijala 
341,120588,Musical Romance    
342,121294,Comedy Drama   Veli-PekkaHänninen 
343,122936,Drama    
344,126309,Drama    
345,127092,Horror Thriller   MichaelFindlay 
346,85,Drama Romance   A.S.Byatt 
347,137,Documentary   DirkShafer 
348,251,Action   J.F.Lawton 
349,451,Drama Mystery Romance   SteveKloves 
350,580,Drama   MichaelAustin 
351,808,Adventure Children   AndyBurg 
352,1265,Comedy Fantasy Romance   DannyRubin 
353,1884,Adventure Comedy Drama   HunterS.Thompson 
354,1975,Horror    
355,2025,Drama Romance   VladimirNabokov 
356,2231,Drama   DavidLevien 
357,2259,Comedy Romance    
358,2443,Drama Romance   WillardCarroll 
359,2488,Drama Horror Thriller    
360,2525,Action Horror Sci-Fi    
361,2721,Comedy Romance   JasonSchafer 
362,2748,Action Adventure Comedy    
363,2923,Comedy    
364,3089,Drama    
365,3098,Drama    
366,3220,Drama    
367,3490,Horror    
368,3796,Romance Thriller   PaulHoffman 
369,3876,Comedy Crime Drama   SaulRubinek 
370,3986,Action Sci-Fi Thriller   CormacWibberley 
371,4042,Action Drama War Western    
372,4078,Drama    
373,4186,Comedy Drama Romance    
374,4239,Crime Drama   PabloEscobar 
375,4364,Drama Romance   HermineHuntgeburth 
376,4684,Comedy    
377,4937,Comedy    
378,5074,Comedy Drama   ToddSolondz 
379,5155,Action    
380,5223,Comedy Drama   LievenDebrauwer 
381,5308,Comedy    
382,5482,Children Comedy   MarkPerez 
383,6597,Action Sci-Fi   KazuoKamimura 
384,6598,Documentary   DanaBrown 
385,7066,Drama   MaoXiao 
386,7098,Drama Thriller    
387,7120,Horror   GeoffreyAlanHolliday 
388,7644,Documentary   ZibaMir-Hosseini 
389,8650,Drama    
390,8743,Adventure Fantasy Sci-Fi    
391,8779,Comedy Drama   Jean-PaulRappeneau 
392,8911,Romance   MitchRotter 
393,26375,Action Comedy Crime    
394,26736,Action Crime Thriller   TetsuyaSaruwatari 
395,27255,Drama   MahmoudAiden 
396,27480,Action Crime Thriller   MasaNakamura 
397,27856,Action Drama Thriller   PyotrBuslov 
398,31290,Action Adventure Fantasy Sci-Fi   AndreNorton 
399,31447,Adventure Children Fantasy   RickStevenson 
400,31689,Documentary   FentonBailey 
401,32291,Comedy Drama   WoodyAllen 
402,33437,Action Crime Drama Thriller   LucBesson 
403,33615,Adventure Animation Children Comedy   TomMcGrath 
404,34450,Action Comedy Crime Drama    
405,43260,Drama Mystery Thriller   RobertSullivan 
406,44595,Drama Fantasy    
